id,flag_inside,flag_outside
0,True,False
1,True,False
2,True,False
3,True,False
4,True,False
5,True,False
6,True,False
7,False,False
8,False,True
9,True,False
10,False,True
11,True,False
12,True,False
13,False,True
14,True,False
15,True,False
16,True,False
17,True,False
18,False,False
19,False,True
20,False,True
21,True,False
22,True,False
23,True,False
24,True,False
25,False,True
26,True,False
27,False,True
28,True,False
29,True,False
30,True,False
31,True,False
32,True,False
33,False,True
34,True,False
35,True,False
36,True,False
37,True,False
38,False,True
39,True,False
40,True,False
41,True,False
42,True,False
43,True,False
44,False,True
45,False,False
46,True,False
47,True,False
48,True,False
49,True,False
50,True,False
51,True,False
52,False,True
53,True,False
54,True,False
55,True,False
56,True,False
57,True,False
58,True,False
59,True,False
60,True,False
61,True,False
62,True,False
63,True,False
64,True,False
65,True,False
66,False,True
67,True,False
68,True,False
69,True,False
70,True,False
71,True,False
72,False,True
73,True,False
74,False,True
75,True,False
76,True,False
77,True,False
78,True,False
79,True,False
80,True,False
81,True,False
82,True,False
83,False,True
84,False,True
85,True,False
86,False,False
87,True,False
88,True,False
89,False,False
90,True,False
91,True,False
92,True,False
93,True,False
94,True,False
95,True,False
96,True,False
97,True,False
98,False,True
99,True,False
100,True,False
101,True,False
102,True,False
103,False,True
104,True,False
105,False,False
106,True,False
107,True,False
108,True,False
109,True,False
110,True,False
111,False,True
112,True,False
113,True,False
114,False,True
115,True,False
116,False,True
117,True,False
118,False,True
119,True,False
120,True,False
121,True,False
122,False,True
123,False,True
124,False,True
125,True,False
126,True,False
127,True,False
128,True,False
129,True,False
130,True,False
131,True,False
132,True,False
133,True,False
134,True,False
135,True,False
136,True,False
137,False,True
138,True,False
139,True,False
140,True,False
141,True,False
142,True,False
143,False,False
144,True,False
145,True,False
146,True,False
147,True,False
148,False,False
149,True,False
150,True,False
151,True,False
152,True,False
153,True,False
154,True,False
155,True,False
156,True,False
157,True,False
158,True,False
159,True,False
160,True,False
161,True,False
162,False,True
163,True,False
164,False,True
165,False,True
166,True,False
167,True,False
168,True,False
169,True,False
170,True,False
171,True,False
172,True,False
173,True,False
174,False,True
175,True,False
176,True,False
177,False,True
178,False,False
179,True,False
180,True,False
181,True,False
182,False,True
183,True,False
184,True,False
185,False,True
186,True,False
187,False,False
188,False,True
189,True,False
190,True,False
191,True,False
192,True,False
193,False,True
194,True,False
195,True,False
196,True,False
197,True,False
198,True,False
199,True,False
200,True,False
201,True,False
202,True,False
203,True,False
204,True,False
205,True,False
206,False,True
207,True,False
208,True,False
209,False,True
210,False,True
211,True,False
212,True,False
213,True,False
214,True,False
215,True,False
216,True,False
217,True,False
218,False,True
219,False,True
220,False,False
221,True,False
222,True,False
223,False,True
224,True,False
225,False,True
226,True,False
227,True,False
228,False,True
229,True,False
230,True,False
231,True,False
232,False,False
233,True,False
234,True,False
235,True,False
236,True,False
237,True,False
238,True,False
239,False,True
240,False,True
241,True,False
242,False,True
243,True,False
244,True,False
245,True,False
246,True,False
247,True,False
248,True,False
249,True,False
250,True,False
251,False,False
252,True,False
253,False,True
254,False,True
255,True,False
256,True,False
257,True,False
258,False,True
259,True,False
260,True,False
261,True,False
262,True,False
263,False,True
264,True,False
265,True,False
266,True,False
267,False,True
268,True,False
269,True,False
270,False,True
271,False,True
272,True,False
273,True,False
274,True,False
275,True,False
276,False,True
277,True,False
278,True,False
279,False,False
280,True,False
281,True,False
282,True,False
283,True,False
284,True,False
285,True,False
286,False,True
287,False,True
288,True,False
289,True,False
290,True,False
291,True,False
292,True,False
293,True,False
294,True,False
295,True,False
296,True,False
297,True,False
298,False,True
299,False,True
300,False,True
301,False,True
302,True,False
303,True,False
304,True,False
305,True,False
306,True,False
307,True,False
308,False,False
309,True,False
310,True,False
311,True,False
312,True,False
313,True,False
314,False,True
315,True,False
316,True,False
317,True,False
318,False,True
319,True,False
